oldCode,oldName,oldCategoryGuess,suggestedProductName,newCategory,reason,risk,ownerRuleApplied,ownerDecision,correctProductName,note
"0114","เหล็กหล่อชิ้นเล็ก","เหล็ก","เหล็กหล่อ 40","เหล็ก","keyword match — ""ชิ้นเล็ก"" vs ""40"" อาจต่างขนาด","ขนาดไม่แน่ใจ — อาจมีหลายขนาดเหล็กหล่อ","","","","เหล็ก→เหล็ก หมวดเดียวกัน แต่ไซส์ต่างกัน ต้องยืนยันว่า 40 = ชิ้นเล็ก"
"0115","เหล็กหล่อ (ชิ้นใหญ่)","เหล็ก","เหล็กหล่อ 80","เหล็ก","keyword match — ""ชิ้นใหญ่"" vs ""80"" อาจต่างขนาด","ขนาดไม่แน่ใจ — อาจมีหลายขนาดเหล็กหล่อ","","","","เหล็ก→เหล็ก หมวดเดียวกัน แต่ไซส์ต่างกัน ต้องยืนยันว่า 80 = ชิ้นใหญ่"
"0200","เหล็กสลิง,สแตน","อลูมิเนียม (code 02) — แต่ชื่อมี ""เหล็ก""","สลิง,สแตน 1.5 ม.","เหล็ก","CROSS-CATEGORY: old code 02xx (อลูมิเนียม) แต่ system product อยู่หมวดเหล็ก","อาจ map ผิดหมวด — ชื่อ old มี ""เหล็ก"" แต่ code เป็น 02xx","CROSS_CATEGORY_MISMATCH","","","old name มี ""เหล็กสลิง"" แต่อยู่ code 02xx (อลูมิเนียม) — อาจเป็น coding error ในระบบเดิม หรือเป็นสินค้าคนละตัว ต้องตรวจ"
"0201","อลูมิเนียมกระป๋อง","อลูมิเนียม","กระป๋อง , ปี๊บ","เหล็ก","CROSS-CATEGORY: อลูมิเนียม → กระป๋องเหล็ก/ปี๊บเหล็ก","HIGH — คนละหมวดวัสดุ จะทำให้ stock ผิดหมวด","CROSS_CATEGORY_MISMATCH","","อลูมิเนียมกระป๋อง","owner rule #1: กระป๋องปี๊บ = เหล็ก / อลูมิเนียมกระป๋อง = อลูมิเนียม คนละตัว — ต้องสร้างสินค้าใหม่ ""อลูมิเนียมกระป๋อง"""
"0205","อลูมิเนียมหล่อ","อลูมิเนียม","เหล็กหล่อ 40","เหล็ก","CROSS-CATEGORY: อลูมิเนียมหล่อ (เนียมแข็ง) → เหล็กหล่อ","HIGH — คนละหมวดวัสดุ จะทำให้ stock ผิดหมวด","CROSS_CATEGORY_MISMATCH","","เนียมแข็ง (อลูมิเนียมหล่อ)","owner rule #3: อลูมิเนียมหล่อ = ""เนียมแข็ง"" ห้าม map ไป ""เหล็กหล่อ 40"" — ต้องสร้างสินค้าใหม่หรือ map กับ ""เนียมแข็ง"" ที่มีในระบบ"
"0207","อลูมิเนียมกะทะไฟฟ้า","อลูมิเนียม","อลูมีเนียมตูดกะทะไฟฟ้าล้วน","อลูมีเนียม","คล้ายกันแต่ ""กะทะไฟฟ้า"" vs ""ตูดกะทะไฟฟ้าล้วน"" อาจต่างเกรด","MEDIUM — อาจต่างเกรด/ชนิด ส่งผลต่อราคา","","","","อลูม→อลูม หมวดเดียวกัน แต่ ""กะทะไฟฟ้า"" vs ""ตูดกะทะไฟฟ้าล้วน"" อาจต่างกัน ต้องยืนยัน"
"0208","กระทะดำ","อลูมิเนียม (code 02)","อลูมีเนียมกระทะ","อลูมีเนียม","""กระทะดำ"" อาจไม่ใช่อลูมิเนียม — อาจเป็นเหล็กหล่อ/ cast iron","MEDIUM — วัสดุไม่แน่ใจ อาจ cross-category จริง","","","","""กระทะดำ"" ไม่มีคำว่า ""อลูมิเนียม"" — อาจเป็นเหล็กหล่อ ต้องตรวจว่าเป็นอลูมิเนียมจริงหรือไม่"
"0209","อลูมิเนียมกะทะ","อลูมิเนียม","อลูมีเนียมตูดกะทะ","อลูมีเนียม","""กะทะ"" vs ""ตูดกะทะ"" อาจต่างสินค้า","MEDIUM — อาจต่างชนิดสินค้า","","","","อลูม→อลูม หมวดเดียวกัน แต่ ""กะทะ"" vs ""ตูดกะทะ"" อาจต่างกัน ต้องยืนยัน"
"0221","อลูมิเนียมอัลลอยด์","อลูมิเนียม","อลูมีเนียมอัลลอย","อลูมีเนียม","คล้ายกันแต่สะกดต่าง — ""อัลลอยด์"" vs ""อัลลอย""","LOW — น่าจะตัวเดียวกันแค่สะกดต่าง","","","","อลูม→อลูม หมวดเดียวกัน น่าจะตัวเดียวกัน แต่ owner ควรยืนยัน"
"0228","สายไฟอลูมิเนียม(ไม่ปอก)","อลูมิเนียม","อลูมีเนียมสายไฟ","อลูมีเนียม","คล้ายกันแต่ ""ไม่ปอก"" vs ""สายไฟ"" อาจต่างประเภท","LOW-MEDIUM — น่าจะตัวเดียวกัน แต่ต้องยืนยัน","","","","อลูม→อลูม หมวดเดียวกัน — owner rule #5: สายไฟอลูมิเนียมไม่ปอก = อลูมิเนียม ไม่ใช่ทองแดง ยืนยันว่า map กับ ""อลูมีเนียมสายไฟ"" ถูกต้อง"
"0233","กระป๋องสเปรย์","อลูมิเนียม (code 02)","อลูมีเนียมป๋องสเปรย์","อลูมีเนียม","คล้ายกันแต่สะกดต่าง — ""กระป๋อง"" vs ""ป๋อง""","LOW — น่าจะตัวเดียวกันแค่สะกดต่าง","","","","อลูม→อลูม หมวดเดียวกัน — spray cans มักเป็นอลูมิเนียม น่าจะตัวเดียวกัน"
"0711","พวงแผงวงจรติดสายไฟ","อิเล็กทรอนิกส์ (code 07)","อลูมีเนียมสายไฟ","อลูมีเนียม","CROSS-CATEGORY: แผงวงจร/PCB → อลูมิเนียมสายไฟ","HIGH — คนละหมวดวัสดุโดยสิ้นเชิง จะทำให้ stock ผิดหมวด","CROSS_CATEGORY_MISMATCH","","แผงวงจร (PCB)","owner rule #6: แผงวงจร = PCB ห้าม map ไปอลูมิเนียมสายไฟ — ต้องสร้างสินค้าใหม่ ""แผงวงจร/PCB"""
"0804","สายไฟไม่ปอก","อื่นๆ (code 08) → ทองแดง (per owner)","อลูมีเนียมสายไฟ","อลูมีเนียม","CROSS-CATEGORY: สายไฟทองแดง → อลูมิเนียมสายไฟ","HIGH — คนละหมวดวัสดุ ทองแดง vs อลูมิเนียม ราคาต่างกันมาก","CROSS_CATEGORY_MISMATCH","","สายไฟทองแดงไม่ปอก","owner rule #4: สายไฟไม่ปอก = ทองแดง ห้าม map กับสายไฟอลูมิเนียม — ต้องสร้างสินค้าใหม่ ""สายไฟทองแดงไม่ปอก"""
"0806","เปลือกสายไฟ","อื่นๆ (code 08)","อลูมีเนียมสายไฟ","อลูมีเนียม","CROSS-CATEGORY: เปลือกสายไฟ (insulation/shell) → อลูมิเนียมสายไฟ","HIGH — คนละสินค้าโดยสิ้นเชิง เปลือก != สายไฟ","CROSS_CATEGORY_MISMATCH","","เปลือกสายไฟ (wire insulation)","เปลือกสายไฟ = ฉนวน/เปลือก ไม่ใช่สายไฟอลูมิเนียม — ต้องสร้างสินค้าใหม่หรือ ignore"
